PERMNO,date,TICKER,FACPR,PRC
84398,01/24/2011,SPY,,129.10001
84398,01/25/2011,SPY,,129.17000
84398,01/26/2011,SPY,,129.67000
84398,01/27/2011,SPY,,129.99001
84398,01/28/2011,SPY,,127.72000
84398,01/31/2011,SPY,,128.67999
84398,02/01/2011,SPY,,130.74001
84398,02/02/2011,SPY,,130.48500
84398,02/03/2011,SPY,,130.78000
84398,02/04/2011,SPY,,131.14999
84398,02/07/2011,SPY,,131.97000
84398,02/08/2011,SPY,,132.57001
84398,02/09/2011,SPY,,132.26900
84398,02/10/2011,SPY,,132.32100
84398,02/11/2011,SPY,,133.11000
84398,02/14/2011,SPY,,133.42999
84398,02/15/2011,SPY,,133.00999
84398,02/16/2011,SPY,,133.85001
84398,02/17/2011,SPY,,134.25000
84398,02/18/2011,SPY,,134.53000
84398,02/22/2011,SPY,,131.83000
84398,02/23/2011,SPY,,131.02000
84398,02/24/2011,SPY,,130.92999
84398,02/25/2011,SPY,,132.33000
84398,02/28/2011,SPY,,133.14999
84398,03/01/2011,SPY,,130.92999
84398,03/02/2011,SPY,,131.21001
84398,03/03/2011,SPY,,133.47000
84398,03/04/2011,SPY,,132.47000
84398,03/07/2011,SPY,,131.42999
84398,03/08/2011,SPY,,132.58000
84398,03/09/2011,SPY,,132.39000
84398,03/10/2011,SPY,,129.93750
84398,03/11/2011,SPY,,130.84000
84398,03/14/2011,SPY,,130.05000
84398,03/15/2011,SPY,,128.56000
84398,03/16/2011,SPY,,126.17500
84398,03/17/2011,SPY,,127.85000
84398,03/18/2011,SPY,0.00000,127.76000
84398,03/21/2011,SPY,,129.74001
84398,03/22/2011,SPY,,129.28999
84398,03/23/2011,SPY,,129.66000
84398,03/24/2011,SPY,,130.89999
84398,03/25/2011,SPY,,131.30000
84398,03/28/2011,SPY,,130.98000
84398,03/29/2011,SPY,,131.86000
84398,03/30/2011,SPY,,132.77000
84398,03/31/2011,SPY,,132.59000
84398,04/01/2011,SPY,,133.14999
84398,04/04/2011,SPY,,133.25999
84398,04/05/2011,SPY,,133.24001
84398,04/06/2011,SPY,,133.66000
84398,04/07/2011,SPY,,133.32001
84398,04/08/2011,SPY,,132.86000
84398,04/11/2011,SPY,,132.46001
84398,04/12/2011,SPY,,131.47000
84398,04/13/2011,SPY,,131.46001
84398,04/14/2011,SPY,,131.56000
84398,04/15/2011,SPY,,132.03999
84398,04/18/2011,SPY,,130.56000
84398,04/19/2011,SPY,,131.31000
84398,04/20/2011,SPY,,133.10001
84398,04/21/2011,SPY,,133.78000
84398,04/25/2011,SPY,,133.64000
84398,04/26/2011,SPY,,134.79100
84398,04/27/2011,SPY,,135.67000
84398,04/28/2011,SPY,,136.11000
84398,04/29/2011,SPY,,136.42999
84398,05/02/2011,SPY,,136.22000
84398,05/03/2011,SPY,,135.73000
84398,05/04/2011,SPY,,134.83000
84398,05/05/2011,SPY,,133.61000
84398,05/06/2011,SPY,,134.20000
84398,05/09/2011,SPY,,134.72000
84398,05/10/2011,SPY,,135.87000
84398,05/11/2011,SPY,,134.44000
84398,05/12/2011,SPY,,135.08000
84398,05/13/2011,SPY,,134.03999
84398,05/16/2011,SPY,,133.19000
84398,05/17/2011,SPY,,133.17000
84398,05/18/2011,SPY,,134.36000
84398,05/19/2011,SPY,,134.67999
84398,05/20/2011,SPY,,133.61000
84398,05/23/2011,SPY,,132.06000
84398,05/24/2011,SPY,,131.95000
84398,05/25/2011,SPY,,132.39000
84398,05/26/2011,SPY,,133.00000
84398,05/27/2011,SPY,,133.50999
84398,05/31/2011,SPY,,134.89999
84398,06/01/2011,SPY,,131.87000
84398,06/02/2011,SPY,,131.73000
84398,06/03/2011,SPY,,130.42000
84398,06/06/2011,SPY,,129.04500
84398,06/07/2011,SPY,,128.96001
84398,06/08/2011,SPY,,128.42000
84398,06/09/2011,SPY,,129.39999
84398,06/10/2011,SPY,,127.60000
84398,06/13/2011,SPY,,127.70000
84398,06/14/2011,SPY,,129.32001
84398,06/15/2011,SPY,,127.02000
84398,06/16/2011,SPY,,127.30000
84398,06/17/2011,SPY,0.00000,127.05000
84398,06/20/2011,SPY,,127.70000
84398,06/21/2011,SPY,,129.45000
84398,06/22/2011,SPY,,128.67000
84398,06/23/2011,SPY,,128.30099
84398,06/24/2011,SPY,,126.81000
84398,06/27/2011,SPY,,127.94000
84398,06/28/2011,SPY,,129.61000
84398,06/29/2011,SPY,,130.72000
84398,06/30/2011,SPY,,131.97000
84398,07/01/2011,SPY,,133.92000
84398,07/05/2011,SPY,,133.81000
